nohup: ignoring input
2025-09-19 22:09:32,637 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:10:11,075 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:10:45,304 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:11:10,149 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:11:47,747 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:12:21,568 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:12:54,055 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:13:31,861 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:14:08,953 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:14:47,129 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:15:37,138 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:17:04,914 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:18:56,740 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:20:21,927 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:22:13,502 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:24:04,059 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:25:37,633 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:27:37,523 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:29:46,244 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:31:48,599 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:34:06,182 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:35:56,499 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:36:45,229 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:37:22,262 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-06, cloudbed: cloudbed.
2025-09-19 22:37:54,822 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-07, cloudbed: cloudbed.
2025-09-19 22:38:22,012 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-07, cloudbed: cloudbed.
2025-09-19 22:38:59,417 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-07, cloudbed: cloudbed.
2025-09-19 22:39:36,823 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-07, cloudbed: cloudbed.
2025-09-19 22:40:13,375 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-07, cloudbed: cloudbed.
2025-09-19 22:40:50,352 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-07, cloudbed: cloudbed.
2025-09-19 22:41:27,795 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-07, cloudbed: cloudbed.
2025-09-19 22:42:05,832 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-07, cloudbed: cloudbed.
2025-09-19 22:42:28,282 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-07, cloudbed: cloudbed.
2025-09-19 22:43:05,293 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-07, cloudbed: cloudbed.
2025-09-19 22:43:55,732 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-07, cloudbed: cloudbed.
2025-09-19 22:45:14,318 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-07, cloudbed: cloudbed.
2025-09-19 22:46:48,977 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-07, cloudbed: cloudbed.
2025-09-19 22:48:43,958 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-07, cloudbed: cloudbed.
2025-09-19 22:50:03,757 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-07, cloudbed: cloudbed.
2025-09-19 22:51:43,395 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-07, cloudbed: cloudbed.
2025-09-19 22:52:55,507 - INFO - Preprocessing traces: dataset_type: train_valid, date: 2025-06-07, cloudbed: cloudbed.
